"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2003","Debe redirigir al login cuando se accede al dashboard sin sesión","chromium","2026-08-04","passed","2026-08-04","Protección de rutas","protected-routes.spec.js","",""
"","2175","Debe mostrar correctamente la página de inicio de sesión","chromium","2026-08-04","passed","2026-08-04","Flujo de autenticación","login.spec.js","",""
"","11596","Debe cargar las órdenes técnicas registradas","chromium","2026-08-04","passed","2026-08-04","Flujo de órdenes técnicas","ordenes-tecnicas.spec.js","",""
"","6116","Debe abrir el modal para añadir un producto","chromium","2026-08-04","passed","2026-08-04","Flujo de gestión de inventario","inventario.spec.js","",""
"","10895","Debe acceder al módulo de órdenes técnicas desde el menú","chromium","2026-08-04","passed","2026-08-04","Flujo de órdenes técnicas","ordenes-tecnicas.spec.js","",""
"","6181","Debe cargar los productos registrados en la tabla","chromium","2026-08-04","passed","2026-08-04","Flujo de gestión de inventario","inventario.spec.js","",""
"","6215","Debe cerrar sesión y regresar al login","chromium","2026-08-04","passed","2026-08-04","Flujo de cierre de sesión","logout.spec.js","",""
"","2237","Debe rechazar un usuario inexistente","chromium","2026-08-04","passed","2026-08-04","Flujo de autenticación","login.spec.js","",""
"","4230","Debe permitir iniciar sesión con credenciales válidas","chromium","2026-08-04","passed","2026-08-04","Flujo de autenticación","login.spec.js","",""
"","5728","La página de login no debe tener violaciones críticas o serias","chromium","2026-08-04","passed","2026-08-04","Accesibilidad con Axe","accessibility.spec.js","",""
"","7275","Debe acceder al módulo de inventario desde el menú","chromium","2026-08-04","passed","2026-08-04","Flujo de gestión de inventario","inventario.spec.js","",""
"","6704","Debe mostrar la página de inicio de sesión","chromium","2026-08-04","passed","2026-08-04","Disponibilidad de la aplicación","application.spec.js","",""
"","2082","Debe mostrar una alerta cuando los campos están vacíos","chromium","2026-08-04","passed","2026-08-04","Flujo de autenticación","login.spec.js","",""
